"get_wanted_api_codes(options, db)"
"ODA/AFG_BCA_NGDPD"
"ODA/AFG_LP"
"ODA/AFG_NGDPD"
"ODA/AFG_NGDP_D"
"ODA/AFG_NGDPDPC"
"ODA/AFG_NID_NGDP"
"ODA/AFG_PPPGDP"
"ODA/AGO_BCA_NGDPD"
"ODA/AGO_LP"
"ODA/AGO_NGDPD"
"ODA/AGO_NGDP_D"
"ODA/AGO_NGDPDPC"
"ODA/AGO_NID_NGDP"
"ODA/AGO_PPPGDP"
"ODA/ALB_BCA_NGDPD"
"ODA/ALB_LP"
"ODA/ALB_NGDPD"
"ODA/ALB_NGDP_D"
"ODA/ALB_NGDPDPC"
"ODA/ALB_NID_NGDP"
"ODA/ALB_PPPGDP"
"ODA/ARE_BCA_NGDPD"
"ODA/ARE_LP"
"ODA/ARE_NGDPD"
"ODA/ARE_NGDP_D"
"ODA/ARE_NGDPDPC"
"ODA/ARE_NID_NGDP"
"ODA/ARE_PPPGDP"
"ODA/ARG_BCA_NGDPD"
"ODA/ARG_LP"
"ODA/ARG_NGDPD"
"ODA/ARG_NGDP_D"
"ODA/ARG_NGDPDPC"
"ODA/ARG_NID_NGDP"
"ODA/ARG_PPPGDP"
"ODA/ARM_BCA_NGDPD"
"ODA/ARM_LP"
"ODA/ARM_NGDPD"
"ODA/ARM_NGDP_D"
"ODA/ARM_NGDPDPC"
"ODA/ARM_NID_NGDP"
"ODA/ARM_PPPGDP"
"ODA/ATG_BCA_NGDPD"
"ODA/ATG_LP"
"ODA/ATG_NGDPD"
"ODA/ATG_NGDP_D"
"ODA/ATG_NGDPDPC"
"ODA/ATG_NID_NGDP"
"ODA/ATG_PPPGDP"
"ODA/AUS_BCA_NGDPD"
"ODA/AUS_LP"
"ODA/AUS_NGDPD"
"ODA/AUS_NGDP_D"
"ODA/AUS_NGDPDPC"
"ODA/AUS_NID_NGDP"
"ODA/AUS_PPPGDP"
"ODA/AUT_BCA_NGDPD"
"ODA/AUT_LP"
"ODA/AUT_NGDPD"
"ODA/AUT_NGDP_D"
"ODA/AUT_NGDPDPC"
"ODA/AUT_NID_NGDP"
"ODA/AUT_PPPGDP"
"ODA/AZE_BCA_NGDPD"
"ODA/AZE_LP"
"ODA/AZE_NGDPD"
"ODA/AZE_NGDP_D"
"ODA/AZE_NGDPDPC"
"ODA/AZE_NID_NGDP"
"ODA/AZE_PPPGDP"
"ODA/BDI_BCA_NGDPD"
"ODA/BDI_LP"
"ODA/BDI_NGDPD"
"ODA/BDI_NGDP_D"
"ODA/BDI_NGDPDPC"
"ODA/BDI_NID_NGDP"
"ODA/BDI_PPPGDP"
"ODA/BEL_BCA_NGDPD"
"ODA/BEL_LP"
"ODA/BEL_NGDPD"
"ODA/BEL_NGDP_D"
"ODA/BEL_NGDPDPC"
"ODA/BEL_NID_NGDP"
"ODA/BEL_PPPGDP"
"ODA/BEN_BCA_NGDPD"
"ODA/BEN_LP"
"ODA/BEN_NGDPD"
"ODA/BEN_NGDP_D"
"ODA/BEN_NGDPDPC"
"ODA/BEN_NID_NGDP"
"ODA/BEN_PPPGDP"
"ODA/BFA_BCA_NGDPD"
"ODA/BFA_LP"
"ODA/BFA_NGDPD"
"ODA/BFA_NGDP_D"
"ODA/BFA_NGDPDPC"
"ODA/BFA_NID_NGDP"
"ODA/BFA_PPPGDP"
"ODA/BGD_BCA_NGDPD"
"ODA/BGD_LP"
"ODA/BGD_NGDPD"
"ODA/BGD_NGDP_D"
