"get_wanted_api_codes(options, db)"
"UGID/NATAC_10_HKG"
"UGID/NATAC_10_5817"
"UGID/NATAC_10_5100"
"UGID/NATAC_10_5815"
"UGID/NATAC_10_DZA"
"UGID/NATAC_10_CRI"
"UGID/NATAC_10_CPV"
"UGID/NATAC_10_COG"
"UGID/NATAC_10_JOR"
"UGID/NATAC_10_MLT"
"UGID/NATAC_10_LVA"
"UGID/NATAC_10_KIR"
"UGID/NATAC_10_MLI"
"UGID/NATAC_10_KOR"
"UGID/NATAC_10_TTO"
"UGID/NATAC_10_PNG"
"UGID/NATAC_10_STP"
"UGID/NATAC_10_SYC"
"UGID/NATAC_10_UGA"
"UGID/NATAC_10_VUT"
"UGID/NATAC_10_BRA"
"UGID/NATAC_10_ECU"
"UGID/NATAC_10_COM"
"UGID/NATAC_10_5310"
"UGID/NATAC_10_AGO"
"UGID/NATAC_10_BGR"
"UGID/NATAC_10_5206"
"UGID/NATAC_10_5803"
"UGID/NATAC_10_5204"
"UGID/NATAC_10_AND"
"UGID/NATAC_10_BFA"
"UGID/NATAC_10_5001"
"UGID/NATAC_10_5207"
"UGID/NATAC_10_5200"
"UGID/NATAC_10_5304"
"UGID/NATAC_10_BTN"
"UGID/NATAC_10_BHR"
"UGID/NATAC_10_BEN"
"UGID/NATAC_10_CMR"
"UGID/NATAC_10_AUT"
"UGID/NATAC_10_AUS"
"UGID/NATAC_10_BOL"
"UGID/NATAC_10_CHN"
"UGID/NATAC_10_CUB"
"UGID/NATAC_10_COL"
"UGID/NATAC_10_IRQ"
"UGID/NATAC_10_CZE"
"UGID/NATAC_10_DOM"
"UGID/NATAC_10_CYP"
"UGID/NATAC_10_EGY"
"UGID/NATAC_10_CIV"
"UGID/NATAC_10_DJI"
"UGID/NATAC_10_SLV"
"UGID/NATAC_10_GHA"
"UGID/NATAC_10_DEU"
"UGID/NATAC_10_EST"
"UGID/NATAC_10_ETH"
"UGID/NATAC_10_GAB"
"UGID/NATAC_10_GMB"
"UGID/NATAC_10_FJI"
"UGID/NATAC_10_HTI"
"UGID/NATAC_10_IND"
"UGID/NATAC_10_MWI"
"UGID/NATAC_10_GNB"
"UGID/NATAC_10_IDN"
"UGID/NATAC_10_GTM"
"UGID/NATAC_10_IRN"
"UGID/NATAC_10_MDA"
"UGID/NATAC_10_KEN"
"UGID/NATAC_10_MDG"
"UGID/NATAC_10_LBN"
"UGID/NATAC_10_KWT"
"UGID/NATAC_10_ISR"
"UGID/NATAC_10_LBR"
"UGID/NATAC_10_LBY"
"UGID/NATAC_10_LSO"
"UGID/NATAC_10_MNG"
"UGID/NATAC_10_MYS"
"UGID/NATAC_10_MUS"
"UGID/NATAC_10_MEX"
"UGID/NATAC_10_PER"
"UGID/NATAC_10_MAR"
"UGID/NATAC_10_MOZ"
"UGID/NATAC_10_NOR"
"UGID/NATAC_10_SOM"
"UGID/NATAC_10_MMR"
"UGID/NATAC_10_NER"
"UGID/NATAC_10_NGA"
"UGID/NATAC_10_NAM"
"UGID/NATAC_10_PAN"
"UGID/NATAC_10_OMN"
"UGID/NATAC_10_RWA"
"UGID/NATAC_10_SMR"
"UGID/NATAC_10_PRY"
"UGID/NATAC_10_PHL"
"UGID/NATAC_10_URY"
"UGID/NATAC_10_SLB"
"UGID/NATAC_10_SLE"
"UGID/NATAC_10_VCT"
"UGID/NATAC_10_TON"
"UGID/NATAC_10_SYR"
"UGID/NATAC_10_THA"
"UGID/NATAC_10_ARE"
"UGID/NATAC_10_USA"
